"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"1400000US36005022401","Census Tract 224.01, Bronx County, New York","70","57","16","27","0","13","0","13","0","13","0","13","0","13","54","49",
"1400000US36005022403","Census Tract 224.03, Bronx County, New York","88","63","50","47","0","13","0","13","0","13","0","13","0","13","38","46",
"1400000US36005022404","Census Tract 224.04, Bronx County, New York","43","51","16","27","0","13","0","13","0","13","0","13","0","13","27","43",
"1400000US36005022500","Census Tract 225, Bronx County, New York","50","57","50","57","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005022701","Census Tract 227.01, Bronx County, New York","34","37","16","25","18","28","0","13","0","13","0","13","0","13","0","13",
"1400000US36005022702","Census Tract 227.02, Bronx County, New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US36005022703","Census Tract 227.03, Bronx County, New York","9","15","0","13","0","13","0","13","0","13","0","13","0","13","9","15",
"1400000US36005022800","Census Tract 228, Bronx County, New York","41","65","41","65","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US36005022901","Census Tract 229.01, Bronx County, New York","89","60","16","29","18","29","0","18","0","18","0","18","0","18","55","44",
"1400000US36005022902","Census Tract 229.02, Bronx County, New York","40","44","0","13","0","13","0","13","0","13","0","13","0","13","40","44",
"1400000US36005023000","Census Tract 230, Bronx County, New York","35","42","0","13","15","22","0","13","0","13","0","13","0","13","20","34",
