GEO_ID,NAME,B25004_001E,B25004_001M,B25004_002E,B25004_002M,B25004_003E,B25004_003M,B25004_004E,B25004_004M,B25004_005E,B25004_005M,B25004_006E,B25004_006M,B25004_007E,B25004_007M,B25004_008E,B25004_008M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!For rent,Margin of Error!!Total!!For rent,"Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied",Estimate!!Total!!For sale only,Margin of Error!!Total!!For sale only,"Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use",Estimate!!Total!!For migrant workers,Margin of Error!!Total!!For migrant workers,Estimate!!Total!!Other vacant,Margin of Error!!Total!!Other vacant
1400000US36063021200,"Census Tract 212, Niagara County, New York",547,130,250,88,0,12,179,87,0,12,0,12,0,12,118,71
1400000US36063021300,"Census Tract 213, Niagara County, New York",451,82,132,57,5,8,207,66,0,12,13,21,0,12,94,52
1400000US36063021400,"Census Tract 214, Niagara County, New York",158,57,47,39,0,12,57,38,0,12,23,25,0,12,31,28
1400000US36063021700,"Census Tract 217, Niagara County, New York",440,122,179,99,8,13,148,88,0,12,25,40,0,12,80,70
1400000US36063022000,"Census Tract 220, Niagara County, New York",169,91,15,25,0,12,109,78,25,38,12,19,0,12,8,13
1400000US36063022100,"Census Tract 221, Niagara County, New York",28,40,0,12,0,12,0,12,0,12,0,12,0,12,28,40
1400000US36063022200,"Census Tract 222, Niagara County, New York",270,102,124,73,0,12,71,64,0,12,0,12,0,12,75,69
1400000US36063022300,"Census Tract 223, Niagara County, New York",88,56,0,12,0,12,72,52,0,12,0,12,0,12,16,27
1400000US36063022401,"Census Tract 224.01, Niagara County, New York",20,31,0,12,0,12,20,31,0,12,0,12,0,12,0,12
1400000US36063022500,"Census Tract 225, Niagara County, New York",121,73,55,61,0,12,0,12,0,12,0,12,0,12,66,55
1400000US36063022601,"Census Tract 226.01, Niagara County, New York",93,53,22,34,0,12,47,42,7,10,0,12,0,12,17,19
1400000US36063022602,"Census Tract 226.02, Niagara County, New York",121,110,82,97,0,17,39,50,0,17,0,17,0,17,0,17
1400000US36063022702,"Census Tract 227.02, Niagara County, New York",170,109,33,51,0,17,53,64,0,17,0,17,0,17,84,77
1400000US36063022711,"Census Tract 227.11, Niagara County, New York",306,181,45,75,30,36,45,71,0,19,92,141,0,19,94,105
1400000US36063022712,"Census Tract 227.12, Niagara County, New York",153,111,53,65,0,17,58,74,0,17,0,17,0,17,42,66
1400000US36063022803,"Census Tract 228.03, Niagara County, New York",45,54,0,12,0,12,45,54,0,12,0,12,0,12,0,12
1400000US36063022804,"Census Tract 228.04, Niagara County, New York",85,49,0,12,16,26,0,12,0,12,0,12,0,12,69,46
1400000US36063022901,"Census Tract 229.01, Niagara County, New York",75,63,32,51,18,26,0,12,0,12,0,12,0,12,25,30
1400000US36063022902,"Census Tract 229.02, Niagara County, New York",89,62,44,45,21,33,0,12,0,12,0,12,0,12,24,31
1400000US36063023001,"Census Tract 230.01, Niagara County, New York",114,82,71,70,0,12,20,29,0,12,0,12,0,12,23,27
1400000US36063023100,"Census Tract 231, Niagara County, New York",214,112,31,50,0,12,0,12,0,12,0,12,0,12,183,108
1400000US36063023200,"Census Tract 232, Niagara County, New York",329,111,197,94,25,40,0,12,0,12,0,12,0,12,107,80
1400000US36063023300,"Census Tract 233, Niagara County, New York",270,186,122,136,18,28,17,27,0,17,0,17,0,17,113,116
1400000US36063023401,"Census Tract 234.01, Niagara County, New York",236,131,85,91,0,17,68,77,0,17,35,54,0,17,48,76
